code;designation;price
4695;YAOURT VITALAIT A BOIRE ORANGE-BISCUIT 170 GR;1
3126;YAOURT BRASSE AUX FRUIT SECS VITALAIT;0.7
3128;YAOURT AROME VANILLE 110GR-;0.55
3127;YAOURT AROME FRAISE 110GR-VITALAIT-;0.55
3129;YAOURT AROME BANANE 110GR-VITALAIT;0.55
4711;YAOURT AROME ABRICOT DELICE;0.55
2880;YAOURT AROMATISE FRUIT EXOTIQUE 110GR;0.55
3375;YAGOURT VITALAIT GRANDI SAVEUR FRUIT 330G;1.9
4718;VIT'UP VANILLE 160G VITALAIT;1
4692;VIT UP TANGO CRUSH;1.2
3640;VIT'UP FRAISE VITALAIT 160G;1
4694;VIT UP COFFEE BREW 160G;1
4686;VITUP BANANE160G;1
4472;TOP CHEF SPECIASALTE CREME DE CUUISSON;3.3
4071;TOP CHEF;2.5
4874;RAIEB 420GR-VITALAIT-;1.7
4243;PUCK BLUE 140G;10.8
4323;MAXI PRO;6
4322;MAXI A BOIRE BANANE NATILAIT 330G;2
3015;Mascarpone delice;7.5
2865;LBEN DELICE 270G;1.5
3012;LBEN 420GR-VITALAIT-;1.7
4324;LAIT DEMI ECREME NATILAIT 1L;1.35
2905;LAIT DELICE 1L;1.35
3367;LAIT AMANDE LOVEGE 1L;16.5
4684;JUS VITALIO PECHE_ABRICOT 200ML;1.2
46840;GRECOS NATURE SUCRE 100G-VITALAIT;1
4688;GRECOS NATURE;1
4875;GRECOS FRAISE VITALAIT;1
3131;GRANDI VITALAIT VANILLE;2
3132;GRANDI VITALAIT FRAISE;2
3134;DOLCE LIEGEOIS CHOCOLAT;1
4870;DOLCE CREME ZGOUGOU 100GR;0.85
2911;DELICE WAKE UP GOUT CHOCOLAT 450G;2
2866;DELICE FRUIT PECHE 95G;0.85
4296;DELICE CREME CHANTILLY45ML;5.8
2851;DANETTE VANILLE 95GR;0.9
2864;DANETTE PRALINEE 95G;0.9
4249;DANETTE ASSIDET ZGOUGOU 9;1
2858;DANAO PECHE ABRICOT 250GR;1.2
3747;DANAO KIWI MANGUE250G;1.2
4872;CREME DESSERT NOISETTE VITALAIT 100G;0.75
4871;CREME DESSERT CHOCOLAT 100G VITALAIT;0.75
4399;CREAMY A BOIRE DELICE PANACHE 150G;1
43990;CREAMY A BOIRE DELICE FRAISE 150G;0.8
2759;CARRE PRESIDENT 8 PC;5.3
3064;BRASSE DELICE VANILLE BISCUIT 100G;0.6
2867;BRASSE AROME VAN/BISCUIT DELICE 70GR;0.5
3010;BRASSE AROME FRAISE DELICE 70GR;0.45
4836;BOUTEILLE CREME LEGERE 20CL;3.3
3013;BIFI A BOIRE 0% FRUITS DES BOIS;1.2
4873;BIFI 0% CITRON;0.8
4701;A BOIRE FRAISE VITUP MAX 260GR;1.3
4320;A BOIRE FRAISE NATILAIT 350GR;2
4687;A BOIRE COLADA VITUP MAX 260GR;1.3
3949;30 OEUFS JAUNE ORANGE EL FIRMA;13.3
2957;OEUF AICHOUCHA;0.9
3137;OEUF BLANC 15 EMB JO CHAHIA;8.5
3138;OEUF BLANC 30 EMB JO CHAHIA;14.3
3139;OEUF DE 15 CHAHIA OMEGA 3;9.9
1;OEUFS;13.685
2712;OEUFS BOITE DE 15 J.O EL MAZRAA;8.3
2958;OEUFS VRAC;0.35
